TIMESTAMP,RECORD,Solar,Precipitation,AirTemp,Vapor_Pressure,AtmPressure,RelHumidity,WindSpeed,WindDirection
4/25/2024 11:04,0,0,0,0,0,0,0,0,0
4/25/2024 11:05,1,0,0,22.4,0.77,92.2,0.286,0.14,296.7
4/25/2024 11:06,2,0,0,0,0,0,0,0,0
4/25/2024 11:07,3,0,0,22.5,0.78,92.2,0.286,0.07,164.1
4/25/2024 11:08,4,0,0,22.5,0.78,92.2,0.286,0.06,114.1
4/25/2024 11:09,5,0,0,22.5,0.78,92.2,0.287,0.11,32.5
4/25/2024 11:10,6,0,0,22.5,0.78,92.2,0.285,0.07,7
4/25/2024 12:16,0,0,0,0,0,0,0,0,0
4/25/2024 12:18,1,0,0,23.3,0.81,92.1,0.285,0.08,22.5
4/25/2024 12:20,2,0,0,23.3,0.8,92.1,0.281,0.04,83.3
4/25/2024 12:30,0,0,0,0,0,0,0,0,0
4/25/2024 12:40,1,0,0,23.4,0.81,92.1,0.282,0.07,92.6
4/25/2024 12:50,2,0,0,23.4,0.81,92.1,0.282,0.06,80.8
4/25/2024 13:00,3,0,0,23.5,0.81,92.1,0.281,0.06,87.5
4/25/2024 13:10,4,0,0,23.6,0.81,92.1,0.28,0.07,84.6
4/25/2024 13:30,0,0,0,0,0,0,0,0,0
4/25/2024 13:45,1,0,0,0,0,0,0,0,0
4/25/2024 14:00,2,0,0,23.9,0.84,92,0.284,0.06,285.7
4/25/2024 14:15,3,0,0,23.9,0.84,92,0.284,0.05,233.2
4/25/2024 14:30,4,0,0,24.1,0.84,92,0.281,0.05,4.8
4/25/2024 14:45,5,0,0,24.1,0.84,92,0.278,0.06,15.6
4/25/2024 15:00,6,0,0,24.1,0.84,92,0.278,0.06,33.1
4/25/2024 15:15,7,0,0,24.1,0.84,92,0.279,0.07,31.4
4/25/2024 15:30,8,0,0,24.1,0.84,91.9,0.279,0.07,24.3
4/26/2024 17:15,9,0,0,0,0,0,0,0,0
4/26/2024 17:30,10,464,0.017,18.3,0.91,96.6,0.472,2.39,296.1
4/26/2024 17:45,11,419,0,18.3,0.93,96.6,0.44,1.63,347.9
4/26/2024 18:00,12,0,0,0,0,0,0,0,0
4/26/2024 18:15,13,304,0,18,0.88,96.7,0.505,3.11,336.3
4/26/2024 18:30,14,264,0,17.9,0.9,96.7,0.439,2.48,317.8
4/26/2024 18:45,15,201,0,17.9,0.91,96.7,0.444,1.87,317.7
4/26/2024 19:00,16,162,0,17.7,0.89,96.7,0.441,1.66,347.3
4/26/2024 19:15,17,127,0,17.4,0.9,96.7,0.451,1.23,327.6
4/26/2024 19:30,18,94,0,17.4,0.87,96.7,0.437,1.1,301.3
4/26/2024 19:45,19,32,0,16.8,0.91,96.7,0.473,0.88,286.6
4/26/2024 20:00,20,28,0,16.1,0.95,96.7,0.518,0.44,256.3
4/26/2024 20:15,21,10,0,15.5,0.94,96.7,0.535,0.22,182.7
4/26/2024 20:30,22,2,0,14.4,0.9,96.8,0.548,0.54,170.7
4/26/2024 20:45,23,0,0,13.7,0.88,96.8,0.563,0.84,166.1
4/26/2024 21:00,24,0,0,13.1,0.86,96.8,0.573,0.86,152.3
4/26/2024 21:15,25,0,0,12.7,0.86,96.8,0.582,0.84,158.3
4/26/2024 21:30,26,0,0,12.4,0.85,96.8,0.589,0.98,153
4/26/2024 21:45,27,0,0,12.4,0.85,96.8,0.592,0.59,131.1
4/26/2024 22:00,28,0,0,12.3,0.84,96.8,0.586,0.33,200.9
4/26/2024 22:15,29,0,0,12.1,0.84,96.8,0.598,0.89,5.6
4/26/2024 22:30,30,0,0,10.8,0.86,96.9,0.665,0.6,211.7
4/26/2024 22:45,31,0,0,11,0.85,96.9,0.642,0.29,87.7
4/26/2024 23:00,32,0,0,10.8,0.84,96.9,0.653,0.26,33.5
