date,pr,rmax,rmin,srad,tmin,tmax,ws,tavg,gdd,cgdd,ravg,trials,plant,year,location,env_abbr,gps_location
2024-01-01,0.8,74.0,74.0,52.5,1.150000000000034,2.650000000000034,1.2000000000000002,1.900000000000034,1.900000000000034,1.900000000000034,74.0,T41,Winter Wheat,2024,Othello,24OTHW,"46.788972, -119.039111"
2024-01-02,5.2,75.60000000000001,73.7,53.1,1.0500000000000114,2.9500000000000455,1.4000000000000001,2.0000000000000284,2.0000000000000284,3.9000000000000625,74.65,T41,Winter Wheat,2024,Othello,24OTHW,"46.788972, -119.039111"
2024-01-03,0.7000000000000001,87.30000000000001,80.7,25.900000000000002,0.6500000000000341,3.3500000000000227,1.5,2.0000000000000284,2.0000000000000284,5.900000000000091,84.0,T41,Winter Wheat,2024,Othello,24OTHW,"46.788972, -119.039111"
2024-01-04,0.7000000000000001,92.0,64.7,27.8,-1.1499999999999773,5.25,2.0,2.0500000000000114,2.0500000000000114,7.950000000000102,78.35,T41,Winter Wheat,2024,Othello,24OTHW,"46.788972, -119.039111"
2024-01-05,0.30000000000000004,86.2,57.1,44.7,-0.8499999999999659,6.350000000000023,2.8000000000000003,2.7500000000000284,2.7500000000000284,10.70000000000013,71.65,T41,Winter Wheat,2024,Othello,24OTHW,"46.788972, -119.039111"
2024-01-06,0.0,99.30000000000001,59.2,49.2,-2.0499999999999545,6.650000000000034,3.7,2.30000000000004,2.30000000000004,13.00000000000017,79.25,T41,Winter Wheat,2024,Othello,24OTHW,"46.788972, -119.039111"
2024-01-07,0.0,96.60000000000001,58.400000000000006,60.0,-3.349999999999966,5.050000000000011,1.8,0.8500000000000227,0.8500000000000227,13.850000000000193,77.5,T41,Winter Wheat,2024,Othello,24OTHW,"46.788972, -119.039111"
2024-01-08,2.7,95.7,62.0,32.4,-2.4499999999999886,5.050000000000011,1.2000000000000002,1.3000000000000114,1.3000000000000114,15.150000000000205,78.85,T41,Winter Wheat,2024,Othello,24OTHW,"46.788972, -119.039111"
2024-01-09,1.7000000000000002,93.10000000000001,66.7,52.1,0.05000000000001137,6.25,7.1000000000000005,3.1500000000000057,3.1500000000000057,18.30000000000021,79.9,T41,Winter Wheat,2024,Othello,24OTHW,"46.788972, -119.039111"
2024-01-10,0.0,100.0,68.10000000000001,54.300000000000004,-4.349999999999966,4.9500000000000455,1.7000000000000002,0.3000000000000398,0.3000000000000398,18.60000000000025,84.05000000000001,T41,Winter Wheat,2024,Othello,24OTHW,"46.788972, -119.039111"
2024-01-11,0.30000000000000004,100.0,76.2,41.400000000000006,-13.549999999999955,2.3500000000000227,4.2,-5.599999999999966,0.0,18.60000000000025,88.1,T41,Winter Wheat,2024,Othello,24OTHW,"46.788972, -119.039111"
2024-01-12,0.0,100.0,70.5,31.6,-19.44999999999999,-12.549999999999955,6.9,-15.999999999999972,0.0,18.60000000000025,85.25,T41,Winter Wheat,2024,Othello,24OTHW,"46.788972, -119.039111"
2024-01-13,0.0,64.5,42.900000000000006,65.5,-19.549999999999983,-13.349999999999966,4.800000000000001,-16.449999999999974,0.0,18.60000000000025,53.7,T41,Winter Wheat,2024,Othello,24OTHW,"46.788972, -119.039111"
2024-01-14,0.0,81.10000000000001,52.5,65.10000000000001,-16.349999999999966,-9.549999999999955,1.2000000000000002,-12.94999999999996,0.0,18.60000000000025,66.80000000000001,T41,Winter Wheat,2024,Othello,24OTHW,"46.788972, -119.039111"
2024-01-15,0.0,100.0,59.0,66.60000000000001,-16.849999999999966,-8.049999999999955,2.0,-12.44999999999996,0.0,18.60000000000025,79.5,T41,Winter Wheat,2024,Othello,24OTHW,"46.788972, -119.039111"
2024-01-16,0.4,100.0,72.2,62.0,-15.649999999999977,-8.149999999999977,0.8,-11.899999999999977,0.0,18.60000000000025,86.1,T41,Winter Wheat,2024,Othello,24OTHW,"46.788972, -119.039111"
2024-01-17,0.30000000000000004,100.0,100.0,29.1,-15.449999999999989,-7.849999999999966,0.9,-11.649999999999977,0.0,18.60000000000025,100.0,T41,Winter Wheat,2024,Othello,24OTHW,"46.788972, -119.039111"
2024-01-18,3.3000000000000003,100.0,93.10000000000001,34.2,-11.75,-3.0499999999999545,3.3000000000000003,-7.399999999999977,0.0,18.60000000000025,96.55000000000001,T41,Winter Wheat,2024,Othello,24OTHW,"46.788972, -119.039111"
2024-01-19,1.4000000000000001,100.0,94.10000000000001,35.800000000000004,-4.649999999999977,-1.5499999999999545,2.4000000000000004,-3.099999999999966,0.0,18.60000000000025,97.05000000000001,T41,Winter Wheat,2024,Othello,24OTHW,"46.788972, -119.039111"
